Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
SR4187	0.955125	0.330833333	0.873375	0.252	0.231	0.225333333	0.9265	0.163
120336	1.071375	0.405666667	0.476375	0.205333333	0.1845	0.180833333	1.07275	0.15975
SR3585	1.12525	0.429833333	0.215125	0.202333333	0.185875	0.1705	0.845625	0.233375
SR4035	0.85475	0.327666667	0.66325	0.203333333	0.179875	0.18	0.45725	0.158625
SR1287	0.758	0.361666667	0.2385	0.262	0.32675	0.327833333	0.258375	0.201
CA598	1.0495	0.417833333	0.334875	0.237333333	0.243375	0.183	0.721625	0.15975
CA545	0.999625	0.618333333	0.423875	0.300166667	0.21025	0.174833333	0.954875	0.25725
CA544	1.042125	0.433333333	0.366875	0.288166667	0.317125	0.233166667	0.929125	0.169875
CA436	1.085125	0.4005	0.923625	0.214833333	0.2115	0.193166667	1.085625	0.259875
CA39	1.05725	0.305833333	0.82225	0.166666667	0.1685	0.166833333	0.955625	0.162875
CA11	0.93175	0.539333333	0.810125	0.171	0.167125	0.165166667	0.631	0.156
CA105	0.615625	0.341	0.7775	0.204833333	0.1705	0.172	0.400125	0.161875
SR4156	1.0005	0.374833333	0.933875	0.314333333	0.261125	0.276666667	0.9395	0.167625
GA53617	0.972125	0.4365	0.6195	0.269166667	0.18775	0.182166667	0.50425	0.158625
GA50245	0.391	0.2925	0.2445	0.1795	0.183875	0.165166667	0.295125	0.158
GA53649	1.078125	0.304333333	0.40675	0.188	0.191875	0.170666667	1.0275	0.161625
834N	1.0795	0.217	0.17575	0.183333333	0.181875	0.164333333	0.95575	0.157125
EUH13	0.171375	0.226666667	0.90175	0.194666667	0.189625	0.172833333	0.16375	0.158625
CA541	0.89925	0.810833333	0.582875	0.632166667	0.574375	0.648	0.88975	0.652
CA26	0.44725	0.439666667	0.41375	0.302333333	0.2255	0.279833333	0.362	0.15625
GA51254	0.898	0.384666667	0.93125	0.426166667	0.2875	0.303166667	0.309625	0.1865
SR4155	1.071	0.3885	0.2075	0.167	0.17075	0.166166667	0.685125	0.157
SR1065	0.90125	0.213666667	0.340125	0.159333333	0.1575	0.159333333	0.847125	0.157
GA50819	0.79175	0.527666667	0.86375	0.1925	0.2455	0.206	0.57425	0.157125
EUH25	0.181125	0.203666667	0.737125	0.176	0.171625	0.1625	0.16025	0.155125
EUH15	0.941875	0.455166667	0.754625	0.215166667	0.190375	0.1805	0.6695	0.16075
GA27	0.97275	0.7845	0.845375	0.508833333	0.34325	0.3355	0.769875	0.215875
GA48963	0.418	0.305833333	0.89125	0.171333333	0.16775	0.169833333	0.412625	0.15825
SR1129	1.07575	0.341833333	0.95275	0.172	0.176375	0.1655	0.4615	0.15825
SR2609	0.772	0.301166667	0.989875	0.168333333	0.174125	0.165333333	0.542125	0.160125
SR2852	0.98675	0.514333333	0.763	0.548666667	0.35925	0.340833333	0.486625	0.154
